roi_index,roi_name,SubID,groups,r_value,fishZ_r
2,Right_WTPic_Harvord_visual_mask_2mm,25,Patient,0.18244149295235,0.18450708662939
2,Right_WTPic_Harvord_visual_mask_2mm,26,Patient,-0.0478586364597671,-0.0478952260135279
2,Right_WTPic_Harvord_visual_mask_2mm,27,Patient,0.25180009095071,0.25733383339593
2,Right_WTPic_Harvord_visual_mask_2mm,28,Patient,-0.0191846059686391,-0.0191869601142187
2,Right_WTPic_Harvord_visual_mask_2mm,29,Patient,0.14239596520376,0.14337028233054
2,Right_WTPic_Harvord_visual_mask_2mm,30,Patient,0.115787345681246,0.116308990713671
2,Right_WTPic_Harvord_visual_mask_2mm,31,Patient,0.126856274488914,0.127543400146943
2,Right_WTPic_Harvord_visual_mask_2mm,32,Patient,0.00570314451958822,0.00570320635401684
2,Right_WTPic_Harvord_visual_mask_2mm,33,Patient,0.110477298346981,0.110930085900347
3,WTPic_Harvord_visual_mask_2mm,1,Patient,-0.048434823866463,-0.0484727522042167
3,WTPic_Harvord_visual_mask_2mm,2,Patient,0.190612565833044,0.192972753709249
3,WTPic_Harvord_visual_mask_2mm,3,Patient,0.034733202845833,0.0347471802897708
3,WTPic_Harvord_visual_mask_2mm,4,Patient,0.20119019529414,0.203972648944987
3,WTPic_Harvord_visual_mask_2mm,5,Patient,0.135685650382603,0.136527655783076
3,WTPic_Harvord_visual_mask_2mm,6,Patient,-0.0635588641891885,-0.0636446591052215
3,WTPic_Harvord_visual_mask_2mm,7,Patient,0.0805085296054004,0.0806831511971173
3,WTPic_Harvord_visual_mask_2mm,8,Patient,0.197764744937407,0.200405242937976
3,WTPic_Harvord_visual_mask_2mm,9,Patient,-0.117263782291855,-0.117805750931304
3,WTPic_Harvord_visual_mask_2mm,10,Patient,0.0659265419589452,0.0660223041833759
3,WTPic_Harvord_visual_mask_2mm,11,Patient,0.305750833493327,0.315851290010958
3,WTPic_Harvord_visual_mask_2mm,12,Patient,-0.0381413718061737,-0.038159883534947
3,WTPic_Harvord_visual_mask_2mm,13,Patient,-0.0785607534806155,-0.0787229748331582
3,WTPic_Harvord_visual_mask_2mm,14,Patient,-0.230372537845386,-0.234582848209037
