roi_index,roi_name,SubID,groups,r_value,fishZ_r
2,Right_WTPic_Harvord_visual_mask_2mm,24,Patient,0.0542804972620121,0.0543339018898259
2,Right_WTPic_Harvord_visual_mask_2mm,25,Patient,0.228761055520982,0.23288171411262
2,Right_WTPic_Harvord_visual_mask_2mm,26,Patient,0.0431519287624355,0.0431787429704064
2,Right_WTPic_Harvord_visual_mask_2mm,27,Patient,-0.245785424077712,-0.250922280864262
2,Right_WTPic_Harvord_visual_mask_2mm,28,Patient,0.0308839336348483,0.0308937584687685
2,Right_WTPic_Harvord_visual_mask_2mm,29,Patient,0.0618601841322498,0.0619392722243906
2,Right_WTPic_Harvord_visual_mask_2mm,30,Patient,-0.214628390570728,-0.21801823201636
2,Right_WTPic_Harvord_visual_mask_2mm,31,Patient,0.186370250271907,0.188574152633541
2,Right_WTPic_Harvord_visual_mask_2mm,32,Patient,0.0238542726918889,0.0238587988069903
2,Right_WTPic_Harvord_visual_mask_2mm,33,Patient,-0.0844982363586563,-0.0847002067517019
3,WTPic_Harvord_visual_mask_2mm,1,Patient,-0.213580854408357,-0.216920368818701
3,WTPic_Harvord_visual_mask_2mm,2,Patient,0.0644765145415285,0.0645660857735375
3,WTPic_Harvord_visual_mask_2mm,3,Patient,-0.0180409369885175,-0.0180428946646092
3,WTPic_Harvord_visual_mask_2mm,4,Patient,-0.0586536925741183,-0.0587210929861781
3,WTPic_Harvord_visual_mask_2mm,5,Patient,0.0318346718877235,0.031845432675612
3,WTPic_Harvord_visual_mask_2mm,6,Patient,-0.12860628828273,-0.129322439957998
3,WTPic_Harvord_visual_mask_2mm,7,Patient,-0.110119608719408,-0.110567991114498
3,WTPic_Harvord_visual_mask_2mm,8,Patient,0.184058353434258,0.186180129189596
3,WTPic_Harvord_visual_mask_2mm,9,Patient,-0.0117752368718541,-0.0117757811536819
3,WTPic_Harvord_visual_mask_2mm,10,Patient,0.0382967682299924,0.0383155072782644
3,WTPic_Harvord_visual_mask_2mm,11,Patient,-0.151209762221306,-0.15237827477308
3,WTPic_Harvord_visual_mask_2mm,12,Patient,0.027035349458678,0.0270419391523126
3,WTPic_Harvord_visual_mask_2mm,13,Patient,-0.160686666203395,-0.162091482409806
3,WTPic_Harvord_visual_mask_2mm,14,Patient,-0.0239952312909624,-0.0239998381363296
3,WTPic_Harvord_visual_mask_2mm,15,Patient,0.0653238104092991,0.0654169656254634
3,WTPic_Harvord_visual_mask_2mm,16,Patient,-0.0266261160775903,-0.0266324109509648
3,WTPic_Harvord_visual_mask_2mm,17,Patient,-0.06867266822552,-0.068780926669723
3,WTPic_Harvord_visual_mask_2mm,18,Patient,0.0197131325210369,0.0197156866742664
3,WTPic_Harvord_visual_mask_2mm,19,Patient,-0.0817460690238322,-0.0819288897800102
3,WTPic_Harvord_visual_mask_2mm,20,Patient,0.00503390470811717,0.00503394722880861
3,WTPic_Harvord_visual_mask_2mm,21,Patient,0.0769431089224529,0.0770954911823358
3,WTPic_Harvord_visual_mask_2mm,22,Patient,-0.244294383636957,-0.249335992049355
3,WTPic_Harvord_visual_mask_2mm,23,Patient,-0.132126676470892,-0.13290369706827
3,WTPic_Harvord_visual_mask_2mm,24,Patient,0.0161108503241411,0.0161122444493377
3,WTPic_Harvord_visual_mask_2mm,25,Patient,0.297123121841131,0.306361184633235
3,WTPic_Harvord_visual_mask_2mm,26,Patient,0.0374341720282579,0.0374516724616306
3,WTPic_Harvord_visual_mask_2mm,27,Patient,-0.255798691332999,-0.261607741090957
3,WTPic_Harvord_visual_mask_2mm,28,Patient,0.00923547261671162,0.00923573520681043
3,WTPic_Harvord_visual_mask_2mm,29,Patient,0.103741799321776,0.104116390097952
3,WTPic_Harvord_visual_mask_2mm,30,Patient,-0.181999979539015,-0.184050409519695
3,WTPic_Harvord_visual_mask_2mm,31,Patient,0.148337371421635,0.149439969343877
3,WTPic_Harvord_visual_mask_2mm,32,Patient,-0.000315730367121434,-0.000315730377612697
3,WTPic_Harvord_visual_mask_2mm,33,Patient,-0.0727120420385674,-0.0728405939316634
